input,cores,avgRun,speedup,efficiency
100000,1,309.42,0.7990918,0.7990918
100000,2,196.76001,1.2566324,0.6283162
100000,4,151.47333,1.6323336,0.4080834
100000,8,149.95332,1.6488798,0.20610997
100000,12,137.09999,1.8034648,0.15028873
100000,16,141.35333,1.7491983,0.109324895
100000,20,137.31334,1.8006626,9.003313e-2
100000,24,135.60667,1.8233248,7.5971864e-2
100000,28,138.02333,1.7914001,6.3978575e-2
100000,32,132.96333,1.8595729,5.8111653e-2
100000,36,133.79665,1.8479911,5.1333085e-2
100000,40,132.91,1.860319,4.6507977e-2
100000,44,134.07333,1.8441774,4.1913122e-2
100000,48,133.88666,1.8467487,3.847393e-2
100000,52,137.28667,1.8010125,3.4634855e-2
100000,56,136.38335,1.8129413,3.2373954e-2
100000,60,135.04,1.8309761,3.0516269e-2
100000,64,136.27667,1.8143605,2.8349383e-2
