input,cores,run1,run2,run3
100000,1,299.13,320.66,308.47
100000,2,192.64,194.81,202.83
100000,4,160.52,142.04,151.86
100000,8,148.03,153.37,148.46
100000,12,136.33,138.78,136.19
100000,16,137.38,153.53,133.15
100000,20,143.59,132.68,135.67
100000,24,133.27,137.51,136.04
100000,28,136.39,134.88,142.80
100000,32,132.16,134.65,132.08
100000,36,134.48,132.62,134.29
100000,40,132.23,133.22,133.28
100000,44,132.38,133.87,135.97
100000,48,135.76,133.10,132.80
100000,52,134.65,139.73,137.48
100000,56,136.98,135.47,136.70
100000,60,135.68,137.08,132.36
100000,64,135.31,139.14,134.38
